customer_id,age,total_orders,total_spending,avg_order_value,avg_discount,avg_rating,cluster
C-0001,65,12,19921.05,1660.0874999999999,313.16249999999997,4.083333333333333,1
C-0002,26,5,13101.65,2620.33,483.66999999999996,3.4,1
C-0003,23,6,8609.85,1434.9750000000001,72.025,3.8333333333333335,1
C-0004,19,4,3703.34,925.835,72.66499999999999,3.0,1
C-0005,50,5,46362.85,9272.57,785.8299999999999,3.4,0
C-0006,30,7,18307.71,2615.387142857143,382.7557142857143,4.0,1
C-0007,32,2,1956.4,978.2,119.8,4.5,1
C-0008,18,3,5832.41,1944.1366666666665,120.52999999999999,4.333333333333333,1
C-0009,35,5,15247.599999999999,3049.5199999999995,488.48,3.4,1
C-0010,24,3,3944.24,1314.7466666666667,125.92,3.3333333333333335,1
C-0011,40,9,29053.030000000002,3228.114444444445,395.55222222222227,4.111111111111111,1
C-0012,20,7,14647.92,2092.56,268.86857142857144,2.7142857142857144,1
C-0013,25,4,6162.98,1540.745,131.255,3.25,1
C-0014,36,3,2372.35,790.7833333333333,41.55,3.0,1
C-0015,54,8,25016.600000000002,3127.0750000000003,206.04999999999998,3.375,1
C-0016,60,4,3269.2799999999997,817.3199999999999,56.93,2.75,1
C-0017,32,2,1258.2,629.1,94.9,5.0,1
C-0018,47,9,19795.489999999998,2199.498888888889,254.50111111111107,3.5555555555555554,1
C-0019,41,8,21020.74,2627.5925,276.5325,3.5,1
C-0020,62,6,23312.850000000002,3885.4750000000004,88.19166666666666,2.8333333333333335,1
C-0021,58,12,34056.39,2838.0325,389.9675,4.083333333333333,1
C-0022,28,6,11246.7,1874.45,140.88333333333335,3.8333333333333335,1
C-0023,58,10,20561.95,2056.195,217.40500000000003,3.7,1
C-0024,61,6,38441.29,6406.881666666667,1083.785,4.333333333333333,0
C-0025,20,4,9079.52,2269.88,291.37,4.75,1
C-0026,22,10,60020.340000000004,6002.034000000001,640.766,3.6,0
C-0027,31,8,19032.64,2379.08,166.67000000000002,3.375,1
C-0028,59,9,54496.52,6055.168888888888,715.3866666666667,3.0,0
C-0029,26,4,4588.65,1147.1625,39.3375,3.5,1
C-0030,34,7,20916.8,2988.1142857142854,709.6000000000001,4.142857142857143,1
C-0031,55,5,4435.43,887.086,59.11400000000001,4.2,1
C-0032,26,8,11591.65,1448.95625,62.29375,3.5,1
C-0033,21,11,16154.23,1468.5663636363636,191.52454545454546,3.090909090909091,1
C-0034,61,7,13180.13,1882.8757142857141,212.41,3.7142857142857144,1
C-0035,42,6,8840.1,1473.3500000000001,191.48333333333335,4.0,1
C-0036,51,8,50013.42,6251.6775,796.0725,3.5,0
C-0037,61,12,76399.13,6366.594166666667,167.23916666666665,3.75,0
C-0038,35,11,64525.56,5865.96,500.76727272727277,4.090909090909091,0
C-0039,36,5,16329.39,3265.8779999999997,387.12199999999996,4.2,1
C-0040,18,3,17897.440000000002,5965.813333333334,1298.5200000000002,4.0,0
C-0041,29,8,25492.33,3186.54125,148.70874999999998,3.875,1
C-0042,58,6,18001.54,3000.2566666666667,206.57666666666668,4.666666666666667,1
C-0043,27,9,19314.68,2146.0755555555556,324.5911111111111,4.0,1
C-0044,51,7,7704.76,1100.68,90.74857142857142,4.0,1
C-0045,49,3,2538.12,846.04,35.96,3.0,1
C-0046,37,8,26633.86,3329.2325,250.7675,3.75,1
C-0047,54,6,14577.99,2429.665,374.83500000000004,3.8333333333333335,1
C-0048,22,7,17277.52,2468.217142857143,250.9257142857143,3.857142857142857,1
C-0049,60,8,7847.69,980.96125,180.03875,3.5,1
C-0050,34,5,11489.14,2297.828,360.572,1.8,1
C-0051,31,5,8893.74,1778.748,219.852,3.8,1
C-0052,43,10,16348.94,1634.894,128.506,3.8,1
C-0053,51,11,83096.52,7554.229090909092,987.3163636363638,3.727272727272727,0
C-0054,32,16,36351.700000000004,2271.9812500000003,243.70625,3.125,1
C-0055,55,6,18764.85,3127.475,365.85833333333335,4.166666666666667,1
C-0056,32,4,11855.73,2963.9325,584.8175,2.5,1
C-0057,32,3,3049.55,1016.5166666666668,57.48333333333333,3.3333333333333335,1
C-0058,22,7,14736.45,2105.207142857143,104.22142857142856,3.857142857142857,1
C-0059,60,7,26080.09,3725.727142857143,701.5585714285714,4.571428571428571,1
C-0060,26,7,33529.44,4789.92,197.07999999999998,4.0,1
C-0061,48,6,22956.15,3826.025,663.475,4.0,1
C-0062,30,4,12666.81,3166.7025,207.0475,2.5,1
C-0063,40,6,7916.86,1319.4766666666667,137.02333333333334,3.3333333333333335,1
C-0064,64,3,21547.25,7182.416666666667,333.25,4.0,1
C-0065,43,4,15554.07,3888.5175,684.2325000000001,4.25,1
C-0066,33,3,2244.85,748.2833333333333,134.04999999999998,4.0,1
C-0067,46,4,6391.05,1597.7625,75.4875,3.75,1
C-0068,35,8,8172.639999999999,1021.5799999999999,102.04499999999999,3.375,1
C-0069,46,5,8093.799999999999,1618.7599999999998,190.44,3.6,1
C-0070,59,7,11406.64,1629.52,168.33714285714288,3.4285714285714284,1
C-0071,33,7,15480.63,2211.5185714285712,172.62428571428572,3.5714285714285716,1
C-0072,48,6,25280.64,4213.44,142.22666666666666,4.5,1
C-0073,28,4,1513.65,378.4125,41.8375,3.5,1
C-0074,34,6,16867.2,2811.2000000000003,53.800000000000004,4.0,1
C-0075,62,11,28787.1,2617.009090909091,460.99090909090916,3.909090909090909,1
C-0076,27,4,5773.9800000000005,1443.4950000000001,192.255,3.75,1
C-0077,21,3,3516.2,1172.0666666666666,59.93333333333334,4.333333333333333,1
C-0078,65,4,3052.25,763.0625,110.4375,3.25,1
C-0079,55,4,7725.95,1931.4875,181.0125,4.0,1
C-0080,28,6,6418.94,1069.8233333333333,76.67666666666666,3.8333333333333335,1
C-0081,29,6,29941.890000000003,4990.3150000000005,1045.3516666666667,3.0,0
C-0082,61,6,22698.25,3783.0416666666665,473.4583333333334,3.6666666666666665,1
C-0083,54,6,10211.57,1701.9283333333333,212.07166666666663,3.8333333333333335,1
C-0084,20,7,8506.69,1215.2414285714287,69.33,3.5714285714285716,1
C-0085,60,7,6121.9,874.5571428571428,76.87142857142858,2.4285714285714284,1
C-0086,38,7,7036.23,1005.1757142857142,77.25285714285714,3.7142857142857144,1
C-0087,33,5,6876.75,1375.35,122.65,3.8,1
C-0088,60,5,6112.67,1222.534,113.46599999999998,3.6,1
C-0089,38,8,18487.940000000002,2310.9925000000003,169.6325,3.125,1
C-0090,57,4,5975.96,1493.99,167.51,2.75,1
C-0091,52,4,5041.85,1260.4625,81.7875,3.0,1
C-0092,26,4,7247.57,1811.8925,73.3575,2.75,1
C-0093,41,2,1497.2,748.6,49.9,4.5,1
